numSamples,sampFreq,DIPort,DOPort,AO0,AI0,DO0,DO1,DI1
640,80000,0,0,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
